Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19500722.8.1,Summary,1950-07-22,15:07:00,3,Colorado,-,-,?,0,0,10,0.1,Weld,-,-,-,-,-,-,-,-,-,-,-,-,,40.52,-104.57,-,-,1,1,172,Unmodified
19500805.8.2,Summary,1950-08-05,17:30:00,3,Colorado,-,-,2,0,1,10,0.1,Sedgwick,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,40.73,-102.55,40.68,-102.47,1,2,177,Unmodified
19510517.8.1,Summary,1951-05-17,18:35:00,3,Colorado,-,-,?,0,0,10,0.1,Elbert,Douglas,-,-,-,-,-,-,-,-,-,-,<$50,,39.33,-104.62,-,-,1,1,65,Unmodified
19510520.8.2,Summary,1951-05-20,14:00:00,3,Colorado,-,-,0,0,0,10,0.1,Sedgwick,-,-,-,-,-,-,-,-,-,-,-,<$50,,40.98,-102.27,-,-,1,2,73,Unmodified
19510520.8.3,Summary,1951-05-20,15:00:00,3,Colorado,-,-,1,0,0,10,10.3,Sedgwick,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,40.98,-102.27,41.05,-102.08,1,3,74,Unmodified
19510520.8.4,Summary,1951-05-20,15:00:00,3,Colorado,-,-,0,0,0,10,6.1,Sedgwick,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,40.98,-102.27,41.02,-102.15,1,4,75,Unmodified
19510606.8.5,Summary,1951-06-06,13:30:00,3,Colorado,-,-,2,0,1,217,4.7,Lincoln,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,38.73,-103.58,38.77,-103.5,1,5,107,Unmodified
19510614.8.6,Summary,1951-06-14,21:00:00,3,Colorado,-,-,1,0,0,10,0.1,El Paso,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,39,-104.25,-,-,1,6,139,Unmodified
19510618.8.7,Summary,1951-06-18,18:00:00,3,Colorado,-,-,?,0,0,10,29.9,Crowley,Otero,-,-,-,-,-,-,-,-,-,-,$50-$500,,38.15,-103.97,38.18,-103.42,1,7,147,Unmodified
19510625.8.8,Summary,1951-06-25,17:45:00,3,Colorado,-,-,1,0,1,10,20.2,Sedgwick,-,-,-,-,-,-,-,-,-,-,-,-,,40.85,-102.5,40.58,-102.33,1,8,168,Unmodified
19520508.8.1,Summary,1952-05-08,14:30:00,3,Colorado,-,-,2,0,1,200,2.5,Kit Carson,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,39.48,-102.6,-,-,1,1,123,Unmodified
19520515.8.2,Summary,1952-05-15,15:15:00,3,Colorado,-,-,3,0,5,150,7.4,Weld,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,40.33,-104.57,40.25,-104.47,1,2,133,Unmodified
19520626.8.3,Summary,1952-06-26,17:30:00,3,Colorado,-,-,2,0,0,10,7,Washington,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,40,-103.6,-,-,1,3,179,Unmodified
19530607.8.1,Summary,1953-06-07,14:00:00,3,Colorado,-,-,1,0,0,10,0.1,Sedgwick,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,40.98,-102.28,-,-,1,1,235,Unmodified
19530607.8.2,Summary,1953-06-07,14:00:00,3,Colorado,-,-,1,0,0,10,0.1,Sedgwick,-,-,-,-,-,-,-,-,-,-,-,-,,41,-102.27,-,-,1,2,236,Unmodified
19530607.8.5,Summary,1953-06-07,16:00:00,3,Colorado,-,-,?,0,0,10,0.1,Sedgwick,-,-,-,-,-,-,-,-,-,-,-,-,,40.98,-102.28,-,-,1,5,238,Unmodified
19530607.8.3,Summary,1953-06-07,16:00:00,3,Colorado,-,-,0,0,0,10,0.1,Sedgwick,-,-,-,-,-,-,-,-,-,-,-,-,,40.97,-102.3,-,-,1,3,243,Unmodified
19530607.8.4,Summary,1953-06-07,16:00:00,3,Colorado,-,-,?,0,0,10,0.1,Sedgwick,-,-,-,-,-,-,-,-,-,-,-,-,,41,-102.3,-,-,1,4,244,Unmodified
19530617.8.6,Summary,1953-06-17,14:30:00,3,Colorado,-,-,2,0,0,1417,1,Conejos,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,37.1,-106.1,-,-,1,6,292,Unmodified
19530702.8.7,Summary,1953-07-02,14:25:00,3,Colorado,-,-,?,0,0,10,0.1,El Paso,-,-,-,-,-,-,-,-,-,-,-,<$50,,39.12,-103.87,-,-,1,7,323,Unmodified
19530702.8.8,Summary,1953-07-02,20:00:00,3,Colorado,-,-,?,0,0,10,0.1,Phillips,-,-,-,-,-,-,-,-,-,-,-,<$50,,40.62,-102.35,-,-,1,8,325,Unmodified
19530816.8.9,Summary,1953-08-16,18:00:00,3,Colorado,-,-,?,0,0,10,0.1,Otero,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,38.25,-104.03,-,-,1,9,372,Unmodified
19530817.8.10,Summary,1953-08-17,15:30:00,3,Colorado,-,-,1,0,0,100,5.7,Adams,-,-,-,-,-,-,-,-,-,-,-,<$50,,39.8,-104.5,39.8,-104.38,1,10,374,Unmodified
19530817.8.11,Summary,1953-08-17,16:00:00,3,Colorado,-,-,0,0,0,100,2,Douglas,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,39.38,-104.75,-,-,1,11,375,Unmodified
19530917.8.12,Summary,1953-09-17,15:00:00,3,Colorado,-,-,1,0,0,50,0.1,Boulder,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,40,-105.27,-,-,1,12,380,Unmodified
19531020.8.13,Summary,1953-10-20,11:30:00,3,Colorado,-,-,2,0,0,200,2,Otero,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,38.5,-103.77,-,-,1,13,385,Unmodified
19531020.8.14,Summary,1953-10-20,11:45:00,3,Colorado,-,-,?,0,0,880,11.9,Otero,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,38.13,-104.03,38.25,-103.87,1,14,386,Unmodified
19540213.8.1,Summary,1954-02-13,10:30:00,3,Colorado,-,-,1,0,0,17,0.5,Custer,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,38.13,-105.47,-,-,1,1,3,Unmodified
19540331.8.2,Summary,1954-03-31,14:00:00,3,Colorado,-,-,?,0,0,10,0.1,Washington,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,40.12,-102.72,-,-,1,2,78,Unmodified
19540331.8.3,Summary,1954-03-31,14:00:00,3,Colorado,-,-,?,0,0,10,0.1,Yuma,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,40.15,-102.97,-,-,1,3,79,Unmodified
19540425.8.4,Summary,1954-04-25,13:00:00,3,Colorado,-,-,?,0,0,17,0.1,Adams,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,39.98,-104.82,-,-,1,4,132,Unmodified
19540516.8.5,Summary,1954-05-16,18:00:00,3,Colorado,-,-,?,0,0,10,0.1,Las Animas,-,-,-,-,-,-,-,-,-,-,-,-,,37.03,-104.1,-,-,1,5,243,Unmodified
19540606.8.6,Summary,1954-06-06,14:30:00,3,Colorado,-,-,1,0,0,17,0.1,Douglas,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,39.52,-104.82,-,-,1,6,319,Unmodified
19540619.8.7,Summary,1954-06-19,18:00:00,3,Colorado,-,-,?,0,0,17,0.1,Weld,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,40.87,-104.4,-,-,1,7,376,Unmodified
19540728.8.8,Summary,1954-07-28,16:00:00,3,Colorado,-,-,1,0,0,10,0.1,Adams,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,39.82,-104.1,-,-,1,8,441,Unmodified
19540807.8.9,Summary,1954-08-07,16:00:00,3,Colorado,-,-,?,0,0,10,2,Larimer,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,40.8,-105.75,-,-,1,9,458,Unmodified
19550412.8.1,Summary,1955-04-12,13:00:00,3,Colorado,-,-,?,0,0,10,0.1,Washington,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,40.15,-102.97,-,-,1,1,80,Unmodified
19550509.8.2,Summary,1955-05-09,13:00:00,3,Colorado,-,-,?,0,0,100,0.1,Weld,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,40.2,-104.82,-,-,1,2,163,Unmodified
19550512.8.3,Summary,1955-05-12,17:30:00,3,Colorado,-,-,1,0,0,150,0.1,Boulder,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,40.17,-105.1,-,-,1,3,182,Unmodified
19550515.8.4,Summary,1955-05-15,01:00:00,3,Colorado,-,-,?,0,0,10,0.1,Kit Carson,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,39.1,-102.75,-,-,1,4,184,Unmodified
19550515.8.5,Summary,1955-05-15,01:00:00,3,Colorado,-,-,?,0,0,10,0.1,Cheyenne,-,-,-,-,-,-,-,-,-,-,-,-,,38.9,-102.5,-,-,1,5,185,Unmodified
19550604.8.6,Summary,1955-06-04,12:20:00,3,Colorado,-,-,?,0,0,10,0.1,Lincoln,-,-,-,-,-,-,-,-,-,-,-,-,,38.58,-103.92,-,-,1,6,318,Unmodified
